site,x,y,z,dG,dH,-TdS,occupancy,potential_energy
HS81,-25.517,11.317,-1.128,0.72,0.2,0.52,0.2,-19.47
HS82,-28.017,15.317,-1.628,0.14,-0.06,0.2,0.22,-19.73
HS83,-19.517,3.317,8.372,0.22,-0.03,0.25,0.13,-19.7
HS84,-27.517,-0.683,6.872,0.05,-0.03,0.08,0.23,-19.7
HS85,-30.017,11.317,-6.628,0.4,0.17,0.23,0.24,-19.5
HS86,-30.517,15.317,1.372,0.05,-0.02,0.07,0.21,-19.69
HS87,-30.517,0.317,3.372,-0.04,-0.08,0.04,0.22,-19.75
HS88,-25.517,0.317,8.372,0.15,0.04,0.11,0.18,-19.63
HS89,-11.517,-0.683,8.372,-0.19,-0.24,0.05,0.15,-19.91
HS90,-26.517,2.317,6.872,0.03,-0.23,0.26,0.2,-19.9
HS91,-29.017,5.317,2.372,0.32,-0.12,0.44,0.24,-19.79
HS92,-29.517,11.317,-4.128,0.37,0.13,0.24,0.19,-19.54
